site;code;codereg;nomreg;nom;longitude;latitude;eeprot;eea;eeprev;eecwns;eensp;eet;eetow;eiir;ehe;ehns;rcm_collected;rcm_distributed;pcrcmphc;pcnpitm;pcnpoiflw;pcprwtf;pcprwtfowu;pcumcsbhbi;pcptr;pchrtr;pcpltccp;pcptwtdwi;rcmcoll;acesces;acesfc;acesehi;acespi;acesc;acesv;aceswst;acphcs;acpacp;acpc;acpi;acwwha;apppdotf;appfc;appehi;appwha;ppdv;ppdvami;ppdvamiw;ppdvamim;ppdnr;ppdnrw;ppdnrm;ppnovco;ppnopdv;pprcmcoll;pprcmdist;pppcmtit;ppdvbtrwi;ppdratvi;ppptwadawi;awwhs;awwhswpd;awwa;awwaow;awwfps;awwfpswpd;awwapt;awwcs;awwprs;awwnpfwp;awwnpfwo;awwpd;awwod;awwnprp
TAC;REG_TAC;EURAM;Europe and the Americas;Tashkent (regional);69.29202726;41.33039651;2770.1281;1031.18097;2675.08707;1325.40074;-;7801.79688;476.166;95;16;78;44;51;-;-;-;-;-;-;-;-;-;-;44;760;17;-;7;760;-;-;7;23023;-;-;1836;33;32;33;-;454;454;106;22;208;23;21;14;12;203;134;31;133;-;-;16;-;-;-;-;-;-;0;0;0;0;0;0;0
ANK;DEL_TR;EURAM;Europe and the Americas;Ankara;32.84559038;39.92868991;29.51008;-;275.94699;69.95085;-;375.40792;22.91223;48;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOG;DEL_CO;EURAM;Europe and the Americas;Colombia;-74.05525046;4.66067139;9631.85267;18311.49634;4190.79627;1771.61168;-;33905.75696;2069.36297;102;66;294;118;110;-;-;-;-;-;-;36;13;231;-;118;36277;22397;32869;7358;18027;15990;36277;40;62741;4934;885;14835;-;-;-;7439;3623;1995;94;6;116;12;6;161;67;97;36;-;1414;-;-;0;0;0;0;0;0;0;4;30415;294;2096;625;3691;5666
RIO;REG_BRA;EURAM;Europe and the Americas;Brasilia (regional);-43.21024372;-22.90982623;2153.90205;1869.20124;1944.84079;712.90114;-;6680.84522;407.75105;79;7;57;1;1;3;-;-;-;-;-;-;-;-;-;1;1658;-;450;-;42;-;1658;0;0;0;0;0;847;-;847;-;677;62;6;1;29;3;1;30;12;2;-;-;31;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TBI;DEL_GE;EURAM;Europe and the Americas;Georgia;44.78632;41.731974;2241.72057;5668.74912;1656.90483;761.13586;-;10328.51038;630.37857;102;16;113;476;353;-;-;-;18;-;-;201;3;29;-;476;2893;1109;656;418.77;2893;-;600;0;0;0;0;10202;-;-;10;-;7891;164;15;-;95;11;-;130;30;133;91;-;20;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAA;REG_CAA;EURAM;Europe and the Americas;Caracas (regional);-66.9046894;10.49628349;296.02777;-;1131.73707;370.26016;-;1798.025;109.7386;94;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;-;-;-;-;-;4;2;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NYC;DEL_NYC;EURAM;Europe and the Americas;New York;-74.21128969;40.8850899;-;-;2171.95967;-;-;2171.95967;132.56089;99;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARO;DEL_DE;EURAM;Europe and the Americas;International Tracing Service;9.00008223;51.3671475;356.46104;-;280.71527;-;-;637.17631;38.88867;86;2;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LDN;DEL_GB;EURAM;Europe and the Americas;London;-0.17586148;51.49288723;191.119;-;1284.28309;426.51315;-;1901.91524;116.07932;114;2;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DAM;DEL_SY;MO;Middle East;Syrian Arab Republic;36.282054;33.520801;2323;31342;1701;3251;-;38619;2357;103;25;42;25;3;2;-;-;-;-;-;203;3;188;151;25;1529135;1529135;419272;-;-;-;-;0;0;0;0;14877157;0;0;0;0;113;90;8;4;90;8;4;1;1;7;1;-;-;-;-;5;-;-;-;-;-;-;0;0;0;0;0;0;0
CAI;DEL_EG;MO;Middle East;Egypt;31.26106707;29.957309;468;-;1112;481;-;2061;126;94;7;40;41;73;17141;-;-;-;-;1;-;-;94;1686;41;2;-;-;-;2;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TEH;DEL_IR;MO;Middle East;Iran, Islamic Republic of;51.43106709;35.78858823;1119;-;1971;487;-;3578;218;94;7;40;310;95;3;-;-;-;-;5;-;53;51;-;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JER;DEL_IL;MO;Middle East;Israel and the Occupied Territories;35.22709445;31.79234334;14678;25065;3774;5547;-;49065;2995;93;71;303;2783;3779;-;-;-;8;-;-;73;6;103;4;2783;21742;1405;4838;10309;21742;-;-;0;0;0;0;391350;14966;2362;14966;180;23996;5238;30;416;2578;20;390;737;106;4092;3004;10843;5601;1;8899;8;8;199171;2482;-;2482;-;1;2890;62;326;106;367;587
AMM;DEL_JO;MO;Middle East;Jordan;35.86530542;31.94515449;2339;-;1210;299;-;3848;235;87;22;102;180;209;4739;-;-;7;-;-;-;-;18;231;180;3010.24;-;3010.24;-;-;-;-;0;0;0;0;0;8658.76;-;8658.76;-;10641;1727;71;-;1607;70;-;61;18;150;53;23;4;-;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KOW;REG_KOW;MO;Middle East;Kuwait (regional);48.02199814;29.31396864;1345;-;918;470;248;2981;182;98;7;20;1083;271;143;-;-;-;-;-;-;-;2;5;1083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1173;1173;1;205;1158;1;205;14;10;-;-;-;-;-;4147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BEY;DEL_LB;MO;Middle East;Lebanon;35.47671865;33.89525582;3553;1634;869;835;-;6890;421;90;16;57;61;56;-;-;-;1;-;1;-;13;30;-;61;24590;5770;24590;-;-;-;-;7;80667;-;-;0;3063;-;3063;-;5183;492;17;13;318;13;12;115;16;94;47;284;2;1;54;23;-;-;-;9;-;9;0;0;0;0;0;0;0
SAN;DEL_YE;MO;Middle East;Yemen;44.185679;15.337346;2765;19396;2402;2768;-;27331;1612;73;54;183;4297;2115;394;-;-;-;-;-;6;-;83;54;4297;255829;255829;225470;36452;105;-;48821;9;178167;145830;54042;433285;5030;-;-;5030;5379;162;-;1;115;-;1;45;19;36;14;119;-;-;5;17;11;4782;2345;11;2345;11;4;37729;530;11328;670;19826;22643
BAG;DEL_IQ;MO;Middle East;Iraq;44.38649898;33.31664452;15652;35215;7419;1728;-;60013;3663;89;98;691;119;179;4;-;-;-;-;-;6;205;81;108;119;26777;10506;26777;16354;23610;-;25554;12;400000;354648;-;1616162;3181;-;2447.06;3181;38282;1010;32;3;312;7;3;232;104;869;786;772;85;-;1509;0;0;0;0;0;0;0;13;33472;1134;8388;3927;14213;7636
